year,month,day,hour,minute,count,date
2022,3,5,5,6,20,2022-03-05 05:06:00
2022,3,5,5,7,20,2022-03-05 05:07:00
2022,3,5,5,8,20,2022-03-05 05:08:00
2022,3,5,5,9,20,2022-03-05 05:09:00
2022,3,5,5,10,20,2022-03-05 05:10:00
2022,3,5,5,11,20,2022-03-05 05:11:00
2022,3,5,5,12,20,2022-03-05 05:12:00
2022,3,5,5,13,20,2022-03-05 05:13:00
2022,3,5,5,14,20,2022-03-05 05:14:00
2022,3,5,5,15,20,2022-03-05 05:15:00
2022,3,5,5,16,20,2022-03-05 05:16:00
2022,3,5,5,17,20,2022-03-05 05:17:00
2022,3,5,5,18,20,2022-03-05 05:18:00
2022,3,5,5,19,20,2022-03-05 05:19:00
2022,3,5,5,20,19,2022-03-05 05:20:00
2022,3,5,5,21,19,2022-03-05 05:21:00
2022,3,5,5,22,19,2022-03-05 05:22:00
2022,3,5,5,23,19,2022-03-05 05:23:00
2022,3,5,5,24,19,2022-03-05 05:24:00
2022,3,5,5,25,19,2022-03-05 05:25:00
2022,3,5,5,26,19,2022-03-05 05:26:00
2022,3,5,5,27,20,2022-03-05 05:27:00
2022,3,5,5,28,20,2022-03-05 05:28:00
2022,3,5,5,29,20,2022-03-05 05:29:00
2022,3,5,5,30,19,2022-03-05 05:30:00
2022,3,5,5,31,19,2022-03-05 05:31:00
2022,3,5,5,32,19,2022-03-05 05:32:00
2022,3,5,5,33,19,2022-03-05 05:33:00
2022,3,5,5,34,19,2022-03-05 05:34:00
2022,3,5,5,35,19,2022-03-05 05:35:00
2022,3,5,5,36,19,2022-03-05 05:36:00
2022,3,5,5,37,19,2022-03-05 05:37:00
2022,3,5,5,38,19,2022-03-05 05:38:00
2022,3,5,5,39,19,2022-03-05 05:39:00
2022,3,5,5,40,18,2022-03-05 05:40:00
2022,3,5,5,41,18,2022-03-05 05:41:00
2022,3,5,5,42,18,2022-03-05 05:42:00
2022,3,5,5,43,18,2022-03-05 05:43:00
2022,3,5,5,44,18,2022-03-05 05:44:00
2022,3,5,5,45,18,2022-03-05 05:45:00
2022,3,5,5,46,18,2022-03-05 05:46:00
2022,3,5,5,47,18,2022-03-05 05:47:00
2022,3,5,5,48,18,2022-03-05 05:48:00
2022,3,5,5,49,18,2022-03-05 05:49:00
2022,3,5,5,50,18,2022-03-05 05:50:00
2022,3,5,5,51,18,2022-03-05 05:51:00
2022,3,5,5,52,18,2022-03-05 05:52:00
2022,3,5,5,53,18,2022-03-05 05:53:00
2022,3,5,5,54,18,2022-03-05 05:54:00
2022,3,5,5,55,18,2022-03-05 05:55:00
2022,3,5,5,56,18,2022-03-05 05:56:00
2022,3,5,5,57,18,2022-03-05 05:57:00
2022,3,5,5,58,18,2022-03-05 05:58:00
2022,3,5,5,59,18,2022-03-05 05:59:00
2022,3,5,6,0,18,2022-03-05 06:00:00
2022,3,5,6,1,19,2022-03-05 06:01:00
2022,3,5,6,2,19,2022-03-05 06:02:00
2022,3,5,6,3,19,2022-03-05 06:03:00
2022,3,5,6,4,19,2022-03-05 06:04:00
2022,3,5,6,5,19,2022-03-05 06:05:00
2022,3,5,6,6,19,2022-03-05 06:06:00
2022,3,5,6,7,19,2022-03-05 06:07:00
2022,3,5,6,8,19,2022-03-05 06:08:00
2022,3,5,6,9,19,2022-03-05 06:09:00
2022,3,5,6,10,18,2022-03-05 06:10:00
2022,3,5,6,11,18,2022-03-05 06:11:00
2022,3,5,6,12,18,2022-03-05 06:12:00
2022,3,5,6,13,18,2022-03-05 06:13:00
2022,3,5,6,14,18,2022-03-05 06:14:00
2022,3,5,6,15,18,2022-03-05 06:15:00
2022,3,5,6,16,18,2022-03-05 06:16:00
2022,3,5,6,17,18,2022-03-05 06:17:00
2022,3,5,6,18,18,2022-03-05 06:18:00
2022,3,5,6,19,18,2022-03-05 06:19:00
2022,3,5,6,20,18,2022-03-05 06:20:00
2022,3,5,6,21,18,2022-03-05 06:21:00
2022,3,5,6,22,19,2022-03-05 06:22:00
2022,3,5,6,23,19,2022-03-05 06:23:00
2022,3,5,6,24,19,2022-03-05 06:24:00
2022,3,5,6,25,19,2022-03-05 06:25:00
2022,3,5,6,26,19,2022-03-05 06:26:00
2022,3,5,6,27,19,2022-03-05 06:27:00
2022,3,5,6,28,19,2022-03-05 06:28:00
2022,3,5,6,29,19,2022-03-05 06:29:00
2022,3,5,6,30,19,2022-03-05 06:30:00
2022,3,5,6,31,19,2022-03-05 06:31:00
2022,3,5,6,32,19,2022-03-05 06:32:00
2022,3,5,6,33,19,2022-03-05 06:33:00
2022,3,5,6,34,19,2022-03-05 06:34:00
2022,3,5,6,35,19,2022-03-05 06:35:00
2022,3,5,6,36,20,2022-03-05 06:36:00
2022,3,5,6,37,20,2022-03-05 06:37:00
2022,3,5,6,38,20,2022-03-05 06:38:00
2022,3,5,6,39,20,2022-03-05 06:39:00
2022,3,5,6,40,20,2022-03-05 06:40:00
2022,3,5,6,41,20,2022-03-05 06:41:00
2022,3,5,6,42,20,2022-03-05 06:42:00
2022,3,5,6,43,20,2022-03-05 06:43:00
2022,3,5,6,44,20,2022-03-05 06:44:00
2022,3,5,6,45,20,2022-03-05 06:45:00
2022,3,5,6,46,20,2022-03-05 06:46:00
2022,3,5,6,47,20,2022-03-05 06:47:00
2022,3,5,6,48,20,2022-03-05 06:48:00
2022,3,5,6,49,20,2022-03-05 06:49:00
